gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Sh3glb2,5.6450000000000005,1.0227507027619194,0.0,0.0,-2.73226919950145,False,True,GF_specific_medium,0.02864936933018216,0.03,True
Nkx2-9,2.3333333333333335,0.5773502691896258,0.0,0.0,-1.7369655941662063,False,True,GF_specific_low,0.043477893370359615,0.04,True
Irf3,25.22866666666667,6.307272812661059,0.0,0.0,-4.713072565003415,False,True,GF_specific_high,0.04402401472415957,0.04,True
Acot8,1.728,0.43640233729896544,0.0,0.0,-1.4478436443620855,False,True,GF_specific_low,0.0415024738366094,0.04,True
Nr4a2,49.50366666666667,10.089307227621395,0.0,0.0,-5.658316229084151,False,True,GF_specific_high,0.030458006026839343,0.03,True
Chid1,2.318,0.10247438704378768,0.0,0.0,-1.7303138862937761,False,True,GF_specific_low,0.009612934673805347,0.01,True
Syngap1,8.732333333333335,1.5213659432672122,0.0,0.0,-3.282785733563587,False,True,GF_specific_medium,0.021357784608703995,0.02,True
Clec4b1,9.900333333333334,1.1465741726261471,0.0,0.0,-3.4463003483293737,False,True,GF_specific_medium,0.016926529042257575,0.02,True
Gm1673,3.065666666666667,0.36001990685701457,0.0,0.0,-2.023491937253423,False,True,GF_specific_low,0.01784979217461827,0.02,True
Phkg1,6.039666666666666,2.7386553878378592,0.0,0.0,-2.815507117821063,False,True,GF_specific_medium,0.05,0.05,False
Hip1r,15.524666666666667,4.7392861628449205,0.0,0.0,-4.046549265065277,False,True,GF_specific_medium,0.04556603917092293,0.05,True
Adamts10,1.5746666666666667,0.7465556465082381,0.0,0.0,-1.364385663567407,False,True,GF_specific_low,0.05,0.05,False
Zfp738,7.012333333333333,2.6006945867081996,0.3333333333333333,0.5773502691896258,-2.5871849428832014,False,False,GF_specific_medium,0.05,0.05,False
Unc79,81.481,35.82718061751441,0.0,0.0,-6.365989918940319,False,True,GF_specific_high,0.05,0.05,False
Gja6,3.6666666666666665,0.5773502691896258,1.0,0.0,-1.2223924213364479,False,False,GF_specific_low,0.018138443593362585,0.02,True
Fnbp1,19.672666666666668,6.298646071445302,0.0,0.0,-4.369652595824476,False,True,GF_specific_medium,0.05,0.05,False
Igkv6-25,3.0,1.7320508075688772,0.0,0.0,-2.0,False,True,GF_specific_low,0.05,0.05,False
Mylk4,6.126333333333334,2.798967726382949,0.6666666666666666,0.5773502691896258,-2.0961943727599333,False,False,GF_specific_medium,0.05,0.05,False
Ctse,3.6666666666666665,0.5773502691896258,0.6666666666666666,0.5773502691896258,-1.4854268271702418,False,False,GF_specific_low,0.018138443593362585,0.02,True
